us_news_rank,city,state,metro_population,average_annual_salary,avg_high_low_temps,median_age,median_home_price,avg_annual_rainfall,unemployment_rate,median_monthly_rent,avg_commute_time,percent_single,total_students,total_teachers,violent_crime,property_crime,link
1,Austin,TX,2000590,51840,79.7° / 54.8°,34.2,292500,32.2 inches,0.029,1155,26.8 minutes,0.508,114529,7948,306.3,2343.4,https://realestate.usnews.com/places/texas/austin
2,Denver,CO,2798684,57400,64.6° / 36.2°,36.3,393842,14.3 inches,0.03,1203,27.5 minutes,0.486,171601,9730,413.9,1600.9,https://realestate.usnews.com/places/colorado/denver
3,Colorado Springs,CO,698595,50050,62.1° / 35.7°,34.4,286700,16.5 inches,0.037,1070,23.3 minutes,0.447,39672,2280,431.8,2612.3,https://realestate.usnews.com/places/colorado/colorado-springs
4,Fayetteville,AR,514166,45830,68.0° / 45.0°,33.9,177942,47.9 inches,0.027,778,21.1 minutes,0.442,27384,1924,375.9,2361.7,https://realestate.usnews.com/places/arkansas/fayetteville
5,Des Moines,IA,623113,50600,60.3° / 41.4°,35.7,178942,36.0 inches,0.024,857,20.3 minutes,0.463,35000,2202,370.8,2452.3,https://realestate.usnews.com/places/iowa/des-moines
6,Minneapolis-St. Paul,MN,3526149,56030,55.2° / 37.2°,36.8,237367,30.6 inches,0.027,1001,25.3 minutes,0.474,202832,12022,283,2404.2,https://realestate.usnews.com/places/minnesota/minneapolis-st-paul
7,San Francisco,CA,4641820,69700,65.8° / 50.6°,38.8,768517,20.7 inches,0.027,1673,32.8 minutes,0.501,250611,15147,476.6,2199.8,https://realestate.usnews.com/places/california/san-francisco
8,Portland,OR,2382037,55330,63.1° / 45.6°,37.8,375425,36.0 inches,0.038,1118,26.6 minutes,0.483,135802,7144,283.2,1877.9,https://realestate.usnews.com/places/oregon/portland
9,Seattle,WA,3735216,63120,60.2° / 45.0°,37.1,442333,37.5 inches,0.039,1297,30.1 minutes,0.479,195911,10762,353.7,1963.6,https://realestate.usnews.com/places/washington/seattle
10,Raleigh & Durham,NC,1824266,53788,71.6° / 49.9°,36.4,249294,43.3 inches,0.034,991,25.3 minutes,0.477,112389,7587,227,1860,https://realestate.usnews.com/places/north-carolina/raleigh-durham
11,Huntsville,AL,444908,53600,N/A,38.4,167300,N/A,0.035,779,22.1 minutes,0.478,27687,1685,556.8,3128.9,https://realestate.usnews.com/places/alabama/huntsville
12,Madison,WI,640072,52190,55.9° / 36.8°,35.9,247967,34.5 inches,0.022,958,21.7 minutes,0.499,33671,2453,228.6,1826,https://realestate.usnews.com/places/wisconsin/madison
13,Grand Rapids,MI,1039182,44770,57.9° / 40.2°,35.7,181533,38.3 inches,0.031,826,21.8 minutes,0.47,68973,3793,324,1510.3,https://realestate.usnews.com/places/michigan/grand-rapids
14,San Jose,CA,1969897,77180,72.4° / 50.6°,36.9,1080017,14.9 inches,0.026,1940,28.2 minutes,0.455,112408,6271,308.8,2275.1,https://realestate.usnews.com/places/california/san-jose
15,Nashville,TN,1830410,47110,69.7° / 48.9°,36.3,248883,47.3 inches,0.028,951,27.3 minutes,0.481,106199,7253,624.9,2558.6,https://realestate.usnews.com/places/tennessee/nashville
