,city,month,value
0,Austin,jan,163.8
1,Austin,feb,169.3
2,Austin,mar,205.9
3,Austin,apr,205.8
4,Austin,may,227.1
5,Austin,jun,285.5
6,Austin,jul,317.2
7,Austin,aug,297.9
8,Austin,sep,233.8
9,Austin,oct,215.6
10,Austin,nov,168.3
11,Austin,dec,153.5
12,Denver,jan,215.3
13,Denver,feb,211.1
14,Denver,mar,255.6
15,Denver,apr,276.2
16,Denver,may,290.0
17,Denver,jun,315.3
18,Denver,jul,325.0
19,Denver,aug,306.4
20,Denver,sep,272.3
21,Denver,oct,249.2
22,Denver,nov,194.3
23,Denver,dec,195.9
24,San Francisco,jan,185.9
25,San Francisco,feb,207.7
26,San Francisco,mar,269.1
27,San Francisco,apr,309.3
28,San Francisco,may,325.1
29,San Francisco,jun,311.4
30,San Francisco,jul,313.3
31,San Francisco,aug,287.4
32,San Francisco,sep,271.4
33,San Francisco,oct,247.1
34,San Francisco,nov,173.4
35,San Francisco,dec,160.6
36,Portland,jan,85.6
37,Portland,feb,116.4
38,Portland,mar,191.1
39,Portland,apr,221.1
40,Portland,may,276.1
41,Portland,jun,290.2
42,Portland,jul,331.9
43,Portland,aug,298.1
44,Portland,sep,235.7
45,Portland,oct,151.7
46,Portland,nov,79.3
47,Portland,dec,63.7
48,Seattle,jan,69.8
49,Seattle,feb,108.8
50,Seattle,mar,178.4
51,Seattle,apr,207.3
52,Seattle,may,253.7
53,Seattle,jun,268.4
54,Seattle,jul,312.0
55,Seattle,aug,281.4
56,Seattle,sep,221.7
57,Seattle,oct,142.6
58,Seattle,nov,72.7
59,Seattle,dec,52.9
60,Nashville,jan,139.6
61,Nashville,feb,145.2
62,Nashville,mar,191.3
63,Nashville,apr,231.5
64,Nashville,may,261.8
65,Nashville,jun,277.7
66,Nashville,jul,279.0
67,Nashville,aug,262.1
68,Nashville,sep,226.4
69,Nashville,oct,216.8
70,Nashville,nov,148.1
71,Nashville,dec,130.6
72,Boise,jan,109.3
73,Boise,feb,151.9
74,Boise,mar,238.6
75,Boise,apr,281.4
76,Boise,may,335.5
77,Boise,jun,351.6
78,Boise,jul,399.8
79,Boise,aug,358.8
80,Boise,sep,303.6
81,Boise,oct,238.1
82,Boise,nov,119.6
83,Boise,dec,105.2
84,Charlotte,jan,173.3
